Lens and feed coordinates within the array global CS and probe rotation angle - Lens: Mrk1TxPCBv4_MockUpOnlyGoodForCalGeom - Array geometry: Mrk1_S2000_TLM_TX_ArrayGeometry_V20062022.csv - Array Tool Version 13102022,,,,,,,,,
Lens no., Feed no., Lens x [mm], Lens y [mm], Feed x [mm], Feed y [mm], Feed odd port rotation [deg], Single-Pol Probe rotation [deg], Dual-Pol Probe rotation [deg], Lens-assembly +x axis rotation with respect to array CS [deg]
1,1,0,-37.5,1.25,-35.34,315,45,45,0
1,2,0,-37.5,-3.75,-35.34,315,315,45,0
1,3,0,-37.5,-1.25,-39.66,315,45,45,0
1,4,0,-37.5,3.75,-39.66,315,315,45,0
1,5,0,-37.5,6.25,-35.34,315,45,45,0
1,6,0,-37.5,3.75,-31,315,315,45,0
1,7,0,-37.5,-1.25,-31,315,45,45,0
1,8,0,-37.5,-6.25,-31,315,315,45,0
1,9,0,-37.5,-8.75,-35.34,315,45,45,0
1,10,0,-37.5,-6.25,-39.66,315,315,45,0
1,11,0,-37.5,-3.75,-43.99,315,45,45,0
1,12,0,-37.5,1.25,-43.99,315,315,45,0
1,13,0,-37.5,6.25,-43.99,315,45,45,0
1,14,0,-37.5,8.75,-39.66,315,315,45,0
1,15,0,-37.5,11.25,-35.34,315,45,45,0
1,16,0,-37.5,8.75,-31,315,315,45,0
1,17,0,-37.5,6.25,-26.68,315,45,45,0
1,18,0,-37.5,1.25,-26.68,315,315,45,0
1,19,0,-37.5,-3.75,-26.68,315,45,45,0
1,20,0,-37.5,-8.75,-26.68,315,315,45,0
1,21,0,-37.5,-11.25,-31,315,45,45,0
1,22,0,-37.5,-13.75,-35.34,315,315,45,0
1,23,0,-37.5,-11.25,-39.66,315,45,45,0
1,24,0,-37.5,-8.75,-43.99,315,315,45,0
1,25,0,-37.5,-6.25,-48.33,315,45,45,0
1,26,0,-37.5,-1.25,-48.33,315,315,45,0
1,27,0,-37.5,3.75,-48.33,315,45,45,0
1,28,0,-37.5,8.75,-48.33,315,315,45,0
1,29,0,-37.5,11.25,-43.99,315,45,45,0
1,30,0,-37.5,13.75,-39.66,315,315,45,0
1,31,0,-37.5,16.25,-35.34,315,45,45,0
1,32,0,-37.5,13.75,-31,315,315,45,0
1,33,0,-37.5,11.25,-26.68,315,45,45,0
1,34,0,-37.5,8.75,-22.34,315,315,45,0
1,35,0,-37.5,3.75,-22.34,315,45,45,0
1,36,0,-37.5,-1.25,-22.34,315,315,45,0
1,37,0,-37.5,-6.25,-22.34,315,45,45,0
1,38,0,-37.5,-11.25,-22.34,315,315,45,0
1,39,0,-37.5,-13.75,-26.68,315,45,45,0
1,40,0,-37.5,-16.25,-31,315,315,45,0
1,41,0,-37.5,-18.75,-35.34,315,45,45,0
1,42,0,-37.5,-16.25,-39.66,315,315,45,0
1,43,0,-37.5,-13.75,-43.99,315,45,45,0
1,44,0,-37.5,-11.25,-48.33,315,315,45,0
1,45,0,-37.5,-8.75,-52.66,315,45,45,0
1,46,0,-37.5,-3.75,-52.66,315,315,45,0
1,47,0,-37.5,1.25,-52.66,315,45,45,0
1,48,0,-37.5,6.25,-52.66,315,315,45,0
1,49,0,-37.5,11.25,-52.66,315,45,45,0
1,50,0,-37.5,13.75,-48.33,315,315,45,0
1,51,0,-37.5,16.25,-43.99,315,45,45,0
1,52,0,-37.5,18.75,-39.66,315,315,45,0
1,53,0,-37.5,21.25,-35.34,315,45,45,0
1,54,0,-37.5,18.75,-31,315,315,45,0
1,55,0,-37.5,16.25,-26.68,315,45,45,0
1,56,0,-37.5,13.75,-22.34,315,315,45,0
1,57,0,-37.5,11.25,-18.02,315,45,45,0
1,58,0,-37.5,6.25,-18.02,315,315,45,0
1,59,0,-37.5,1.25,-18.02,315,45,45,0
1,60,0,-37.5,-3.75,-18.02,315,315,45,0
1,61,0,-37.5,-8.75,-18.02,315,45,45,0
1,62,0,-37.5,-16.25,-22.34,135,315,45,0
1,63,0,-37.5,-18.75,-26.68,315,45,45,0
1,64,0,-37.5,-21.25,-31,135,315,45,0
1,65,0,-37.5,-21.25,-39.66,315,45,45,0
1,66,0,-37.5,-18.75,-43.99,315,315,45,0
1,67,0,-37.5,-16.25,-48.33,315,45,45,0
1,68,0,-37.5,-13.75,-52.66,315,315,45,0
1,69,0,-37.5,-11.25,-56.98,315,45,45,0
1,70,0,-37.5,-6.25,-56.98,315,315,45,0
1,71,0,-37.5,-1.25,-56.98,315,45,45,0
1,72,0,-37.5,3.75,-56.98,315,315,45,0
1,73,0,-37.5,8.75,-56.98,315,45,45,0
1,74,0,-37.5,16.25,-52.66,315,315,45,0
1,75,0,-37.5,18.75,-48.33,315,45,45,0
1,76,0,-37.5,21.25,-43.99,315,315,45,0
2,1,32.5,18.75,30.11,19.49,57.75,147.75,147.75,102.75
2,2,32.5,18.75,31.22,14.61,57.75,57.75,147.75,102.75
2,3,32.5,18.75,34.89,18.01,57.75,147.75,147.75,102.75
2,4,32.5,18.75,33.78,22.89,57.75,57.75,147.75,102.75
2,5,32.5,18.75,29.01,24.37,57.75,147.75,147.75,102.75
2,6,32.5,18.75,25.34,20.97,57.75,57.75,147.75,102.75
2,7,32.5,18.75,26.44,16.1,57.75,147.75,147.75,102.75
2,8,32.5,18.75,27.54,11.22,57.75,57.75,147.75,102.75
2,9,32.5,18.75,32.32,9.74,57.75,147.75,147.75,102.75
2,10,32.5,18.75,35.99,13.13,57.75,57.75,147.75,102.75
2,11,32.5,18.75,39.66,16.53,57.75,147.75,147.75,102.75
2,12,32.5,18.75,38.56,21.4,57.75,57.75,147.75,102.75
2,13,32.5,18.75,37.46,26.28,57.75,147.75,147.75,102.75
2,14,32.5,18.75,32.68,27.76,57.75,57.75,147.75,102.75
2,15,32.5,18.75,27.91,29.24,57.75,147.75,147.75,102.75
2,16,32.5,18.75,24.23,25.85,57.75,57.75,147.75,102.75
2,17,32.5,18.75,20.56,22.46,57.75,147.75,147.75,102.75
2,18,32.5,18.75,21.67,17.58,57.75,57.75,147.75,102.75
2,19,32.5,18.75,22.77,12.7,57.75,147.75,147.75,102.75
2,20,32.5,18.75,23.87,7.83,57.75,57.75,147.75,102.75
2,21,32.5,18.75,28.65,6.34,57.75,147.75,147.75,102.75
2,22,32.5,18.75,33.42,4.86,57.75,57.75,147.75,102.75
2,23,32.5,18.75,37.09,8.26,57.75,147.75,147.75,102.75
2,24,32.5,18.75,40.77,11.65,57.75,57.75,147.75,102.75
2,25,32.5,18.75,44.44,15.04,57.75,147.75,147.75,102.75
2,26,32.5,18.75,43.33,19.92,57.75,57.75,147.75,102.75
2,27,32.5,18.75,42.23,24.8,57.75,147.75,147.75,102.75
2,28,32.5,18.75,41.13,29.67,57.75,57.75,147.75,102.75
2,29,32.5,18.75,36.35,31.16,57.75,147.75,147.75,102.75
2,30,32.5,18.75,31.58,32.64,57.75,57.75,147.75,102.75
2,31,32.5,18.75,26.8,34.12,57.75,147.75,147.75,102.75
2,32,32.5,18.75,23.13,30.73,57.75,57.75,147.75,102.75
2,33,32.5,18.75,19.46,27.33,57.75,147.75,147.75,102.75
2,34,32.5,18.75,15.79,23.94,57.75,57.75,147.75,102.75
2,35,32.5,18.75,16.89,19.06,57.75,147.75,147.75,102.75
2,36,32.5,18.75,17.99,14.19,57.75,57.75,147.75,102.75
2,37,32.5,18.75,19.1,9.31,57.75,147.75,147.75,102.75
2,38,32.5,18.75,20.2,4.43,57.75,57.75,147.75,102.75
2,39,32.5,18.75,24.98,2.95,57.75,147.75,147.75,102.75
2,40,32.5,18.75,29.75,1.47,57.75,57.75,147.75,102.75
2,41,32.5,18.75,34.53,-0.02,57.75,147.75,147.75,102.75
2,42,32.5,18.75,38.2,3.38,57.75,57.75,147.75,102.75
2,43,32.5,18.75,41.87,6.77,57.75,147.75,147.75,102.75
2,44,32.5,18.75,45.54,10.17,57.75,57.75,147.75,102.75
2,45,32.5,18.75,49.21,13.56,57.75,147.75,147.75,102.75
2,46,32.5,18.75,48.11,18.44,57.75,57.75,147.75,102.75
2,47,32.5,18.75,47.01,23.31,57.75,147.75,147.75,102.75
2,48,32.5,18.75,45.9,28.19,57.75,57.75,147.75,102.75
2,49,32.5,18.75,44.8,33.07,57.75,147.75,147.75,102.75
2,50,32.5,18.75,40.02,34.55,57.75,57.75,147.75,102.75
2,51,32.5,18.75,35.25,36.03,57.75,147.75,147.75,102.75
2,52,32.5,18.75,30.47,37.52,57.75,57.75,147.75,102.75
2,53,32.5,18.75,25.7,39,57.75,147.75,147.75,102.75
2,54,32.5,18.75,22.03,35.6,57.75,57.75,147.75,102.75
2,55,32.5,18.75,18.36,32.21,57.75,147.75,147.75,102.75
2,56,32.5,18.75,14.68,28.82,57.75,57.75,147.75,102.75
2,57,32.5,18.75,11.01,25.42,57.75,147.75,147.75,102.75
2,58,32.5,18.75,12.12,20.55,57.75,57.75,147.75,102.75
2,59,32.5,18.75,13.22,15.67,57.75,147.75,147.75,102.75
2,60,32.5,18.75,14.32,10.79,57.75,57.75,147.75,102.75
2,61,32.5,18.75,15.43,5.92,57.75,147.75,147.75,102.75
2,62,32.5,18.75,21.31,-0.44,237.75,57.75,147.75,102.75
2,63,32.5,18.75,26.08,-1.93,57.75,147.75,147.75,102.75
2,64,32.5,18.75,30.85,-3.41,237.75,57.75,147.75,102.75
2,65,32.5,18.75,39.3,-1.5,57.75,147.75,147.75,102.75
2,66,32.5,18.75,42.97,1.9,57.75,57.75,147.75,102.75
2,67,32.5,18.75,46.64,5.29,57.75,147.75,147.75,102.75
2,68,32.5,18.75,50.32,8.68,57.75,57.75,147.75,102.75
2,69,32.5,18.75,53.99,12.08,57.75,147.75,147.75,102.75
2,70,32.5,18.75,52.88,16.95,57.75,57.75,147.75,102.75
2,71,32.5,18.75,51.78,21.83,57.75,147.75,147.75,102.75
2,72,32.5,18.75,50.68,26.71,57.75,57.75,147.75,102.75
2,73,32.5,18.75,49.57,31.58,57.75,147.75,147.75,102.75
2,74,32.5,18.75,43.69,37.94,57.75,57.75,147.75,102.75
2,75,32.5,18.75,38.92,39.43,57.75,147.75,147.75,102.75
2,76,32.5,18.75,34.15,40.91,57.75,57.75,147.75,102.75
3,1,-32.5,18.75,-32.7,16.26,160.5,250.5,250.5,205.5
3,2,-32.5,18.75,-28.18,18.41,160.5,160.5,250.5,205.5
3,3,-32.5,18.75,-32.3,21.24,160.5,250.5,250.5,205.5
3,4,-32.5,18.75,-36.82,19.09,160.5,160.5,250.5,205.5
3,5,-32.5,18.75,-37.21,14.11,160.5,250.5,250.5,205.5
3,6,-32.5,18.75,-33.09,11.27,160.5,160.5,250.5,205.5
3,7,-32.5,18.75,-28.58,13.43,160.5,250.5,250.5,205.5
3,8,-32.5,18.75,-24.06,15.58,160.5,160.5,250.5,205.5
3,9,-32.5,18.75,-23.67,20.56,160.5,250.5,250.5,205.5
3,10,-32.5,18.75,-27.79,23.39,160.5,160.5,250.5,205.5
3,11,-32.5,18.75,-31.91,26.23,160.5,250.5,250.5,205.5
3,12,-32.5,18.75,-36.42,24.07,160.5,160.5,250.5,205.5
3,13,-32.5,18.75,-40.94,21.92,160.5,250.5,250.5,205.5
3,14,-32.5,18.75,-41.33,16.94,160.5,160.5,250.5,205.5
3,15,-32.5,18.75,-41.72,11.95,160.5,250.5,250.5,205.5
3,16,-32.5,18.75,-37.6,9.12,160.5,160.5,250.5,205.5
3,17,-32.5,18.75,-33.48,6.29,160.5,250.5,250.5,205.5
3,18,-32.5,18.75,-28.97,8.44,160.5,160.5,250.5,205.5
3,19,-32.5,18.75,-24.46,10.59,160.5,250.5,250.5,205.5
3,20,-32.5,18.75,-19.94,12.75,160.5,160.5,250.5,205.5
3,21,-32.5,18.75,-19.55,17.73,160.5,250.5,250.5,205.5
3,22,-32.5,18.75,-19.16,22.72,160.5,160.5,250.5,205.5
3,23,-32.5,18.75,-23.28,25.55,160.5,250.5,250.5,205.5
3,24,-32.5,18.75,-27.4,28.38,160.5,160.5,250.5,205.5
3,25,-32.5,18.75,-31.52,31.21,160.5,250.5,250.5,205.5
3,26,-32.5,18.75,-36.03,29.06,160.5,160.5,250.5,205.5
3,27,-32.5,18.75,-40.54,26.91,160.5,250.5,250.5,205.5
3,28,-32.5,18.75,-45.06,24.75,160.5,160.5,250.5,205.5
3,29,-32.5,18.75,-45.45,19.77,160.5,250.5,250.5,205.5
3,30,-32.5,18.75,-45.84,14.78,160.5,160.5,250.5,205.5
3,31,-32.5,18.75,-46.23,9.8,160.5,250.5,250.5,205.5
3,32,-32.5,18.75,-42.11,6.97,160.5,160.5,250.5,205.5
3,33,-32.5,18.75,-37.99,4.14,160.5,250.5,250.5,205.5
3,34,-32.5,18.75,-33.87,1.3,160.5,160.5,250.5,205.5
3,35,-32.5,18.75,-29.36,3.46,160.5,250.5,250.5,205.5
3,36,-32.5,18.75,-24.85,5.61,160.5,160.5,250.5,205.5
3,37,-32.5,18.75,-20.33,7.76,160.5,250.5,250.5,205.5
3,38,-32.5,18.75,-15.82,9.91,160.5,160.5,250.5,205.5
3,39,-32.5,18.75,-15.43,14.9,160.5,250.5,250.5,205.5
3,40,-32.5,18.75,-15.04,19.88,160.5,160.5,250.5,205.5
3,41,-32.5,18.75,-14.64,24.87,160.5,250.5,250.5,205.5
3,42,-32.5,18.75,-18.77,27.7,160.5,160.5,250.5,205.5
3,43,-32.5,18.75,-22.89,30.53,160.5,250.5,250.5,205.5
3,44,-32.5,18.75,-27.01,33.36,160.5,160.5,250.5,205.5
3,45,-32.5,18.75,-31.13,36.2,160.5,250.5,250.5,205.5
3,46,-32.5,18.75,-35.64,34.04,160.5,160.5,250.5,205.5
3,47,-32.5,18.75,-40.15,31.89,160.5,250.5,250.5,205.5
3,48,-32.5,18.75,-44.67,29.74,160.5,160.5,250.5,205.5
3,49,-32.5,18.75,-49.18,27.59,160.5,250.5,250.5,205.5
3,50,-32.5,18.75,-49.57,22.6,160.5,160.5,250.5,205.5
3,51,-32.5,18.75,-49.96,17.62,160.5,250.5,250.5,205.5
3,52,-32.5,18.75,-50.36,12.63,160.5,160.5,250.5,205.5
3,53,-32.5,18.75,-50.75,7.65,160.5,250.5,250.5,205.5
3,54,-32.5,18.75,-46.63,4.82,160.5,160.5,250.5,205.5
3,55,-32.5,18.75,-42.51,1.98,160.5,250.5,250.5,205.5
3,56,-32.5,18.75,-38.39,-0.85,160.5,160.5,250.5,205.5
3,57,-32.5,18.75,-34.27,-3.68,160.5,250.5,250.5,205.5
3,58,-32.5,18.75,-29.75,-1.53,160.5,160.5,250.5,205.5
3,59,-32.5,18.75,-25.24,0.62,160.5,250.5,250.5,205.5
3,60,-32.5,18.75,-20.73,2.78,160.5,160.5,250.5,205.5
3,61,-32.5,18.75,-16.21,4.93,160.5,250.5,250.5,205.5
3,62,-32.5,18.75,-11.31,12.07,340.5,160.5,250.5,205.5
3,63,-32.5,18.75,-10.92,17.05,160.5,250.5,250.5,205.5
3,64,-32.5,18.75,-10.52,22.04,340.5,160.5,250.5,205.5
3,65,-32.5,18.75,-14.25,29.85,160.5,250.5,250.5,205.5
3,66,-32.5,18.75,-18.37,32.68,160.5,160.5,250.5,205.5
3,67,-32.5,18.75,-22.49,35.52,160.5,250.5,250.5,205.5
3,68,-32.5,18.75,-26.61,38.35,160.5,160.5,250.5,205.5
3,69,-32.5,18.75,-30.73,41.18,160.5,250.5,250.5,205.5
3,70,-32.5,18.75,-35.25,39.03,160.5,160.5,250.5,205.5
3,71,-32.5,18.75,-39.76,36.88,160.5,250.5,250.5,205.5
3,72,-32.5,18.75,-44.27,34.72,160.5,160.5,250.5,205.5
3,73,-32.5,18.75,-48.79,32.57,160.5,250.5,250.5,205.5
3,74,-32.5,18.75,-53.69,25.43,160.5,160.5,250.5,205.5
3,75,-32.5,18.75,-54.08,20.45,160.5,250.5,250.5,205.5
3,76,-32.5,18.75,-54.48,15.46,160.5,160.5,250.5,205.5
